ATC Catalogue;;;;
anatomical_grp;therapeutic_subgrp;pharmacol_subgrp;chem_subgrp;chem_substance
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03A - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03AX - Other drugs for functional gastrointestinal disorders in ATC;A03AX13 - silicones
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01D - OTHER BETA-LACTAM ANTIBACTERIALS in ATC;J01DB - First-generation cephalosporins;J01DB07 - cefatrizine
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03G - GONADOTROPINS AND OTHER OVULATION STIMULANTS;G03GA - Gonadotropins;G03GA04 - urofollitropin
D - DERMATOLOGICALS;D04 - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04A - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04AA - Antihistamines for topical use;D04AA10 - promethazine
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02L - ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION;C02LX - Other antihypertensives and diuretics in ATC;C02LX01 - pinacidil and diuretics
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L03 - IMMUNOSTIMULANTS;L03A - IMMUNOSTIMULANTS;L03AA - Colony stimulating factors;L03AA09 - sargramostim
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AC - Platelet aggregation inhibitors excl. heparin;B01AC23 - cilostazol
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05C - HYPNOTICS AND SEDATIVES;N05CX - Hypnotics and sedatives in combination -  excl. barbiturates;N05CX05 - emepronium -  combinations
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B06 - OTHER HEMATOLOGICAL AGENTS in ATC;B06A - OTHER HEMATOLOGICAL AGENTS in ATC;B06AC - Drugs used in hereditary angioedema;B06AC05 - lanadelumab
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A14 - ANABOLIC AGENTS FOR SYSTEMIC USE;A14A - ANABOLIC STEROIDS;A14AA - Androstan derivatives;A14AA01 - androstanolone
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A08 - ANTIOBESITY PREPARATIONS -  EXCL. DIET PRODUCTS;A08A - ANTIOBESITY PREPARATIONS -  EXCL. DIET PRODUCTS;A08AA - Centrally acting antiobesity products;A08AA09 - mefenorex
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AF - Nucleoside and nucleotide reverse transcriptase inhibitors;J05AF09 - emtricitabine
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09X - OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM in ATC;C09XA - Renin-inhibitors;C09XA53 - aliskiren and amlodipine
D - DERMATOLOGICALS;D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE;D06B - CHEMOTHERAPEUTICS FOR TOPICAL USE;D06BB - Antivirals -  topical;D06BB10 - imiquimod
N - NERVOUS SYSTEM DRUGS;N01 - ANESTHETICS;N01A - ANESTHETICS -  GENERAL;N01AB - Halogenated hydrocarbons -  general anesthetics;N01AB02 - chloroform
C - CARDIOVASCULAR SYSTEM DRUGS;C04 - PERIPHERAL VASODILATORS;C04A - PERIPHERAL VASODILATORS;C04AC - Nicotinic acid and derivatives -  peripheral vasodilators;C04AC07 - ciclonicate
D - DERMATOLOGICALS;D08 - ANTISEPTICS AND DISINFECTANTS;D08A - ANTISEPTICS AND DISINFECTANTS;D08AA - Acridine derivatives -  antiseptics and disinfectants;D08AA03 - euflavine
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02B - OTHER ANALGESICS AND ANTIPYRETICS in ATC;N02BB - Pyrazolones -  analgesics and antipyretics;N02BB54 - propyphenazone -  combinations excl. psycholeptics
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A07 - ANTIDIARRHEALS -  INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS;A07A - INTESTINAL ANTIINFECTIVES;A07AB - Sulfonamides -  intestinal antiinfectives;A07AB04 - succinylsulfathiazole
D - DERMATOLOGICALS;D07 - CORTICOSTEROIDS -  DERMATOLOGICAL PREPARATIONS;D07A - CORTICOSTEROID DERMATOLOGICAL PREPARATIONS -  PLAIN;D07AC - Corticosteroids -  potent (group III);D07AC16 - hydrocortisone aceponate
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02A - OPIOID ANALGESICS;N02AA - Natural opium alkaloid analgesics;N02AA51 - morphine -  combinations
M - MUSCULO-SKELETAL SYSTEM DRUGS;M02 - TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN;M02A - TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN;M02AA - Antiinflammatory preparations -  non-steroids for topical use;M02AA01 - phenylbutazone
S - SENSORY ORGAN DRUGS;S02 - OTOLOGICALS;S02C - Corticosteroids and antiinfectives in combination -  otologic;S02CA - Corticosteroids and antiinfectives in combination;S02CA02 - flumetasone and antiinfectives
J - ANTIINFECTIVES FOR SYSTEMIC USE;J04 - ANTIMYCOBACTERIALS;J04A - DRUGS FOR TREATMENT OF TUBERCULOSIS;J04AM - Combinations of drugs for treatment of tuberculosis;J04AM08 - isoniazid -  sulfamethoxazole -  trimethoprim and pyridoxine
H - SYSTEMIC HORMONAL PREPARATIONS -  EXCL. SEX HORMONES AND INSULINS;H03 - THYROID THERAPY DRUGS;H03A - THYROID PREPARATIONS;H03AA - Thyroid hormones;H03AA01 - levothyroxine sodium
N - NERVOUS SYSTEM DRUGS;N07 - OTHER NERVOUS SYSTEM DRUGS in ATC;N07C - ANTIVERTIGO PREPARATIONS;N07CA - Antivertigo preparations;N07CA01 - betahistine
G - GENITO URINARY SYSTEM AND SEX HORMONES;G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;G01A - ANTIINFECTIVES AND ANTISEPTICS -  EXCL. COMBINATIONS WITH CORTICOSTEROIDS;G01AX - Other gynecological antiinfectives and antiseptics in ATC;G01AX15 - copper usnate
S - SENSORY ORGAN DRUGS;S03 - OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS;S03A - ANTIINFECTIVES -  OPHTHALMOLOGIC AND OTOLOGIC;S03AA - Antiinfectives;S03AA05 - hexamidine
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XE - Protein kinase inhibitors -  antineoplastic drugs;L01XE14 - bosutinib
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09E - RESPIRATORY SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS;V09EX - Other respiratory system diagnostic radiopharmaceuticals in ATC;V09EX02 - xenon (127Xe) gas
R - RESPIRATORY SYSTEM DRUGS;R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03D - OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC;R03DA - Xanthines -  systemic for obstructive airway disease;R03DA04 - theophylline
D - DERMATOLOGICALS;D07 - CORTICOSTEROIDS -  DERMATOLOGICAL PREPARATIONS;D07A - CORTICOSTEROID DERMATOLOGICAL PREPARATIONS -  PLAIN;D07AB - Corticosteroids -  moderately potent (group II);D07AB01 - clobetasone
