PLZ Katalog Schweiz;;;;;
Land;Kanton;PLZ;Zusatzziffer;Gemeinde;Ort
Schweiz;ZH;8914;0;Aeugst am Albis;Aeugst am Albis
Schweiz;ZH;8914;2;Aeugst am Albis;Aeugstertal
Schweiz;ZH;8909;0;Affoltern am Albis;Zwillikon
Schweiz;ZH;8910;0;Affoltern am Albis;Affoltern am Albis
Schweiz;ZH;8906;0;Bonstetten;Bonstetten
Schweiz;ZH;8915;0;Hausen am Albis;Hausen am Albis
Schweiz;ZH;8925;0;Hausen am Albis;Ebertswil
Schweiz;ZH;8908;0;Hedingen;Hedingen
Schweiz;ZH;8926;0;Kappel am Albis;Kappel am Albis
Schweiz;ZH;8926;2;Kappel am Albis;Hauptikon
Schweiz;ZH;8926;3;Kappel am Albis;Uerzlikon
Schweiz;ZH;8934;0;Knonau;Knonau
Schweiz;ZH;8933;0;Maschwanden;Maschwanden
Schweiz;ZH;8932;0;Mettmenstetten;Mettmenstetten
Schweiz;ZH;8912;0;Obfelden;Obfelden
Schweiz;ZH;8913;0;Ottenbach;Ottenbach
Schweiz;ZH;8911;0;Rifferswil;Rifferswil
Schweiz;ZH;8143;0;Stallikon;Stallikon
Schweiz;ZH;8143;2;Stallikon;Uetliberg
Schweiz;ZH;8907;0;Wettswil am Albis;Wettswil
Schweiz;ZH;8452;0;Adlikon;Adlikon b. Andelfingen
Schweiz;ZH;8463;0;Benken (ZH);Benken ZH
Schweiz;ZH;8415;0;Berg am Irchel;Berg am Irchel
Schweiz;ZH;8415;1;Berg am Irchel;Gräslikon
Schweiz;ZH;8414;0;Buch am Irchel;Buch am Irchel
Schweiz;ZH;8447;0;Dachsen;Dachsen
Schweiz;ZH;8458;0;Dorf;Dorf
Schweiz;ZH;8245;0;Feuerthalen;Feuerthalen
Schweiz;ZH;8246;0;Feuerthalen;Langwiesen
Schweiz;ZH;8416;0;Flaach;Flaach
Schweiz;ZH;8247;0;Flurlingen;Flurlingen
Schweiz;ZH;8450;0;Andelfingen;Andelfingen
Schweiz;ZH;8444;0;Henggart;Henggart
Schweiz;ZH;8457;0;Humlikon;Humlikon
Schweiz;ZH;8451;0;Kleinandelfingen;Kleinandelfingen
Schweiz;ZH;8453;0;Kleinandelfingen;Alten
Schweiz;ZH;8461;0;Kleinandelfingen;Oerlingen
Schweiz;ZH;8212;4;Laufen-Uhwiesen;Nohl
Schweiz;ZH;8248;0;Laufen-Uhwiesen;Uhwiesen
Schweiz;ZH;8460;0;Marthalen;Marthalen
Schweiz;ZH;8464;0;Marthalen;Ellikon am Rhein
Schweiz;ZH;8477;0;Oberstammheim;Oberstammheim
Schweiz;ZH;8475;0;Ossingen;Ossingen
Schweiz;ZH;8462;0;Rheinau;Rheinau
Schweiz;ZH;8478;0;Thalheim an der Thur;Thalheim an der Thur
Schweiz;ZH;8465;0;Trüllikon;Rudolfingen
Schweiz;ZH;8465;1;Trüllikon;Wildensbuch
Schweiz;ZH;8466;0;Trüllikon;Trüllikon
Schweiz;ZH;8467;0;Truttikon;Truttikon
Schweiz;ZH;8476;0;Unterstammheim;Unterstammheim
Schweiz;ZH;8459;0;Volken;Volken
Schweiz;ZH;8468;0;Waltalingen;Waltalingen
Schweiz;ZH;8468;2;Waltalingen;Guntalingen
Schweiz;ZH;8184;0;Bachenbülach;Bachenbülach
Schweiz;ZH;8303;0;Bassersdorf;Bassersdorf
Schweiz;ZH;8180;0;Bülach;Bülach
Schweiz;ZH;8305;0;Dietlikon;Dietlikon
Schweiz;ZH;8193;0;Eglisau;Eglisau
Schweiz;ZH;8424;0;Embrach;Embrach
Schweiz;ZH;8427;2;Freienstein-Teufen;Freienstein
Schweiz;ZH;8428;0;Freienstein-Teufen;Teufen ZH
Schweiz;ZH;8192;0;Glattfelden;Glattfelden
Schweiz;ZH;8192;1;Glattfelden;Zweidlen
Schweiz;ZH;8182;0;Hochfelden;Hochfelden
Schweiz;ZH;8181;0;Höri;Höri
Schweiz;ZH;8194;0;Hüntwangen;Hüntwangen
Schweiz;ZH;8302;0;Kloten;Kloten
Schweiz;ZH;8426;0;Lufingen;Lufingen
Schweiz;ZH;8309;0;Nürensdorf;Nürensdorf
Schweiz;ZH;8425;0;Oberembrach;Oberembrach
Schweiz;ZH;8152;0;Opfikon;Glattbrugg
Schweiz;ZH;8152;1;Opfikon;Opfikon
Schweiz;ZH;8152;2;Opfikon;Glattpark (Opfikon)
Schweiz;ZH;8197;0;Rafz;Rafz
Schweiz;ZH;8427;3;Rorbas;Rorbas
Schweiz;ZH;8304;0;Wallisellen;Wallisellen
Schweiz;ZH;8195;0;Wasterkingen;Wasterkingen
Schweiz;ZH;8196;0;Wil (ZH);Wil ZH
Schweiz;ZH;8185;0;Winkel;Winkel
Schweiz;ZH;8164;0;Bachs;Bachs
Schweiz;ZH;8113;0;Boppelsen;Boppelsen
Schweiz;ZH;8107;0;Buchs (ZH);Buchs ZH
Schweiz;ZH;8108;0;Dällikon;Dällikon
Schweiz;ZH;8114;0;Dänikon;Dänikon ZH
Schweiz;ZH;8157;0;Dielsdorf;Dielsdorf
Schweiz;ZH;8115;0;Hüttikon;Hüttikon
Schweiz;ZH;8173;0;Neerach;Neerach
Schweiz;ZH;8172;0;Niederglatt;Niederglatt ZH
Schweiz;ZH;8155;0;Niederhasli;Niederhasli
Schweiz;ZH;8155;1;Niederhasli;Nassenwil
Schweiz;ZH;8156;0;Niederhasli;Oberhasli
Schweiz;ZH;8166;0;Niederweningen;Niederweningen
Schweiz;ZH;8154;0;Oberglatt;Oberglatt ZH
Schweiz;ZH;8165;2;Oberweningen;Oberweningen
Schweiz;ZH;8112;0;Otelfingen;Otelfingen
Schweiz;ZH;8158;0;Regensberg;Regensberg
Schweiz;ZH;8105;0;Regensdorf;Regensdorf
Schweiz;ZH;8105;2;Regensdorf;Watt
Schweiz;ZH;8106;2;Regensdorf;Adlikon b. Regensdorf
Schweiz;ZH;8153;0;Rümlang;Rümlang
Schweiz;ZH;8165;3;Schleinikon;Schleinikon
Schweiz;ZH;8165;0;Schöfflisdorf;Schöfflisdorf
Schweiz;ZH;8174;0;Stadel;Stadel b. Niederglatt
Schweiz;ZH;8175;0;Stadel;Windlach
Schweiz;ZH;8162;0;Steinmaur;Steinmaur
Schweiz;ZH;8162;1;Steinmaur;Sünikon
Schweiz;ZH;8187;0;Weiach;Weiach
Schweiz;ZH;8344;0;Bäretswil;Bäretswil
Schweiz;ZH;8345;0;Bäretswil;Adetswil
Schweiz;ZH;8608;0;Bubikon;Bubikon
Schweiz;ZH;8633;0;Bubikon;Wolfhausen
Schweiz;ZH;8632;0;Dürnten;Tann
Schweiz;ZH;8635;0;Dürnten;Dürnten
Schweiz;ZH;8496;0;Fischenthal;Steg im Tösstal
Schweiz;ZH;8497;0;Fischenthal;Fischenthal
Schweiz;ZH;8498;0;Fischenthal;Gibswil
Schweiz;ZH;8614;0;Gossau (ZH);Bertschikon (Gossau ZH)
Schweiz;ZH;8624;0;Gossau (ZH);Grüt (Gossau ZH)
Schweiz;ZH;8625;0;Gossau (ZH);Gossau ZH
Schweiz;ZH;8626;0;Gossau (ZH);Ottikon (Gossau ZH)
Schweiz;ZH;8627;0;Grüningen;Grüningen
Schweiz;ZH;8340;0;Hinwil;Hinwil
Schweiz;ZH;8342;0;Hinwil;Wernetshausen
Schweiz;ZH;8630;0;Rüti (ZH);Rüti ZH
Schweiz;ZH;8607;0;Seegräben;Aathal-Seegräben
Schweiz;ZH;8636;0;Wald (ZH);Wald ZH
Schweiz;ZH;8637;0;Wald (ZH);Laupen ZH
Schweiz;ZH;8620;0;Wetzikon (ZH);Wetzikon ZH
Schweiz;ZH;8623;0;Wetzikon (ZH);Wetzikon ZH
Schweiz;ZH;8134;0;Adliswil;Adliswil
Schweiz;ZH;8816;0;Hirzel;Hirzel
Schweiz;ZH;8135;2;Horgen;Sihlbrugg Station
Schweiz;ZH;8135;3;Horgen;Sihlwald
Schweiz;ZH;8810;0;Horgen;Horgen
Schweiz;ZH;8815;0;Horgen;Horgenberg
Schweiz;ZH;8825;0;Hütten;Hütten
Schweiz;ZH;8802;0;Kilchberg (ZH);Kilchberg ZH
Schweiz;ZH;8135;0;Langnau am Albis;Langnau am Albis
Schweiz;ZH;8942;0;Oberrieden;Oberrieden
Schweiz;ZH;8805;0;Richterswil;Richterswil
Schweiz;ZH;8833;0;Richterswil;Samstagern
Schweiz;ZH;8803;0;Rüschlikon;Rüschlikon
Schweiz;ZH;8824;0;Schönenberg (ZH);Schönenberg ZH
Schweiz;ZH;8136;0;Thalwil;Gattikon
Schweiz;ZH;8800;0;Thalwil;Thalwil
Schweiz;ZH;8804;0;Wädenswil;Au ZH
Schweiz;ZH;8820;0;Wädenswil;Wädenswil
Schweiz;ZH;8703;0;Erlenbach (ZH);Erlenbach ZH
Schweiz;ZH;8704;0;Herrliberg;Herrliberg
Schweiz;ZH;8634;0;Hombrechtikon;Hombrechtikon
Schweiz;ZH;8714;0;Hombrechtikon;Feldbach
Schweiz;ZH;8127;0;Küsnacht (ZH);Forch
Schweiz;ZH;8700;0;Küsnacht (ZH);Küsnacht ZH
Schweiz;ZH;8708;0;Männedorf;Männedorf
Schweiz;ZH;8706;0;Meilen;Meilen
Schweiz;ZH;8618;0;Oetwil am See;Oetwil am See
Schweiz;ZH;8712;0;Stäfa;Stäfa
Schweiz;ZH;8713;0;Stäfa;Uerikon
Schweiz;ZH;8707;0;Uetikon am See;Uetikon am See
Schweiz;ZH;8126;0;Zumikon;Zumikon
Schweiz;ZH;8125;0;Zollikon;Zollikerberg
Schweiz;ZH;8702;0;Zollikon;Zollikon
Schweiz;ZH;8320;0;Fehraltorf;Fehraltorf
Schweiz;ZH;8335;0;Hittnau;Hittnau
Schweiz;ZH;8310;0;Lindau;Kemptthal
Schweiz;ZH;8310;1;Lindau;Grafstal
Schweiz;ZH;8312;0;Lindau;Winterberg ZH
Schweiz;ZH;8315;0;Lindau;Lindau
Schweiz;ZH;8317;0;Lindau;Tagelswangen
Schweiz;ZH;8330;0;Pfäffikon;Pfäffikon ZH
Schweiz;ZH;8331;0;Pfäffikon;Auslikon
Schweiz;ZH;8322;0;Russikon;Madetswil
Schweiz;ZH;8322;2;Russikon;Gündisau
Schweiz;ZH;8332;0;Russikon;Russikon
Schweiz;ZH;8332;2;Russikon;Rumlikon
Schweiz;ZH;8484;0;Weisslingen;Weisslingen
Schweiz;ZH;8484;2;Weisslingen;Neschwil
Schweiz;ZH;8484;3;Weisslingen;Theilingen
Schweiz;ZH;8492;0;Wila;Wila
Schweiz;ZH;8489;0;Wildberg;Wildberg
Schweiz;ZH;8489;1;Wildberg;Schalchen
Schweiz;ZH;8489;2;Wildberg;Ehrikon
Schweiz;ZH;8044;1;Dübendorf;Gockhausen
